Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied
1,16,62,49,44,7.5
2,17,52,40,63,2.3
3,15,39,67,90,2.9
4,17,98,35,64,8.4
5,17,63,52,93,3.9
6,14,81,76,54,1.2
7,15,39,75,53,2.4
8,15,48,41,41,3.0
9,15,87,42,47,9.6
10,17,30,91,44,6.2
11,16,98,89,56,9.4
12,15,33,72,89,6.2
13,18,45,97,75,5.3
14,17,53,34,46,3.8
15,14,31,66,82,6.5
16,16,61,60,37,2.3
17,18,53,38,56,9.1
18,18,41,80,75,8.5
19,14,79,58,79,3.9
20,16,64,69,100,9.6
21,17,62,70,32,8.4
22,13,62,40,93,7.0
23,16,90,52,73,2.1
24,14,80,30,82,5.3
25,18,72,75,53,5.6
26,17,41,50,89,3.1
27,16,96,65,32,1.7
28,13,94,83,49,8.0
29,13,62,86,75,2.1
30,15,69,30,44,6.3
31,15,72,92,54,9.4
32,14,73,83,100,8.9
33,16,58,84,46,3.5
34,16,42,69,38,8.7
35,18,41,44,67,1.0
36,18,75,50,77,1.2
37,18,31,76,89,6.4
38,15,64,82,92,4.3
39,16,37,38,31,4.5
40,16,55,81,40,6.1
41,13,63,86,93,2.7
42,15,36,55,50,2.9
43,17,97,70,47,5.4
44,15,87,64,93,7.8
45,17,58,92,67,6.6
46,13,65,54,61,3.7
47,14,50,67,40,4.9
48,16,65,31,74,2.5
49,13,39,36,62,1.7
50,16,53,63,70,8.0
51,18,93,46,37,3.4
52,14,78,72,40,2.6
53,14,65,88,80,7.2
54,13,53,80,70,6.6
55,14,52,83,46,6.7
56,17,91,53,75,3.1
57,14,66,54,61,3.1
58,16,41,100,83,3.0
59,16,84,81,49,2.6
60,16,42,99,62,6.9
61,16,52,62,69,8.6
62,17,59,78,61,7.5
63,15,46,58,31,8.1
64,18,91,92,62,4.6
65,13,42,51,59,6.9
66,16,88,55,62,4.2
67,14,48,57,55,5.7
68,16,78,78,51,5.3
69,14,41,100,95,2.6
70,18,90,78,67,4.5
71,18,48,49,75,9.7
72,18,38,92,44,3.2
73,14,100,90,73,2.2
74,16,57,78,78,4.8
75,18,81,100,90,8.1
76,17,45,30,96,6.2
77,14,98,42,35,7.1
78,14,41,80,38,2.7
79,16,54,85,35,6.6
80,14,81,91,61,3.9
81,14,82,61,70,8.5
82,18,52,59,37,6.7
83,16,45,58,79,2.8
84,18,86,78,91,1.6
85,18,68,74,91,1.4
86,16,82,59,36,4.3
87,13,71,45,33,3.4
88,18,87,69,35,6.8
89,17,68,48,87,5.5
90,17,43,47,51,3.4
91,14,34,30,55,2.3
92,17,64,76,32,2.1
93,14,47,95,70,8.8
94,13,38,67,89,3.2
95,16,87,80,43,6.9
96,16,46,92,41,8.3
97,16,36,33,41,6.5
98,17,75,30,42,8.7
99,13,42,37,54,4.5
100,17,69,58,74,9.6
101,17,71,84,48,2.2
102,13,38,32,84,1.9
103,13,79,61,74,6.9
104,13,56,39,37,9.5
105,13,95,63,82,8.3
106,16,34,84,84,1.7
107,15,58,61,61,3.5
108,15,66,79,80,9.4
109,13,67,36,73,3.3
110,15,37,37,99,8.0
111,15,94,94,47,8.4
112,13,46,86,51,5.5
113,15,100,96,66,4.5
114,17,74,88,85,5.1
115,14,33,83,88,3.0
116,14,65,96,32,9.0
117,13,99,80,57,5.1
118,16,60,37,64,8.9
119,13,48,63,90,2.0
120,16,90,64,83,9.9
121,14,83,61,92,5.0
122,13,68,75,36,1.4
123,18,48,45,78,1.3
124,17,68,97,60,7.7
125,15,96,66,87,6.9
126,16,74,83,90,8.2
127,18,42,43,53,1.9
128,15,87,84,49,1.3
129,15,49,77,66,5.6
130,13,90,36,33,4.5
131,15,68,36,49,5.2
132,17,30,62,89,9.9
133,18,32,52,53,9.7
134,15,91,48,79,9.5
135,13,92,48,78,8.1
136,17,54,65,80,4.2
137,14,85,58,65,4.7
138,18,62,89,95,5.9
139,15,67,31,63,8.5
140,13,35,30,65,1.6
141,14,87,76,35,4.8
142,14,73,98,68,1.7
143,16,74,49,71,5.6
144,17,61,40,87,9.1
145,15,74,31,41,8.0
146,13,90,96,32,3.1
147,16,76,41,47,9.8
148,17,50,49,69,7.0
149,16,65,34,50,1.1
150,18,48,66,44,3.3
151,17,49,67,55,3.3
152,17,86,38,37,1.6
153,15,47,82,71,9.6
154,17,76,73,73,5.3
155,16,78,53,43,9.1
156,17,43,59,31,3.9
157,15,44,88,66,2.1
158,15,60,43,98,5.3
159,18,30,38,67,2.0
160,16,83,69,70,5.4
161,14,32,95,91,9.3
162,14,45,54,89,5.7
163,17,86,51,43,6.5
164,18,41,33,31,2.4
165,13,45,55,99,1.4
166,17,53,87,46,2.0
167,18,57,58,57,6.4
168,16,37,66,95,1.9
169,16,65,99,64,4.4
170,16,37,47,34,6.0
171,16,87,71,94,4.5
172,16,89,70,69,2.5
173,18,79,67,85,3.5
174,18,57,63,65,9.4
175,15,70,46,74,7.1
176,14,93,66,52,5.5
177,16,56,54,76,1.1
178,13,92,56,60,9.9
179,18,46,86,40,7.0
180,13,62,60,39,3.9
181,13,58,35,96,8.9
182,13,42,69,43,3.3
183,15,75,41,39,5.9
184,18,64,82,30,6.7
185,13,35,100,34,3.0
186,16,98,39,49,9.8
187,17,76,74,37,7.7
188,13,54,46,72,6.0
189,15,95,55,30,2.6
190,18,39,91,86,1.5
191,15,85,75,93,3.9
192,13,59,93,57,7.8
193,18,34,31,66,3.4
194,17,62,83,76,5.9
195,13,94,94,66,7.6
196,15,47,80,78,2.0
197,14,78,82,73,7.2
198,16,40,65,85,1.8
199,15,55,55,57,9.7
200,18,92,58,35,5.4
201,13,88,50,90,2.4
202,16,56,40,49,4.1
203,13,78,69,31,4.7
204,18,62,40,66,7.8
205,13,30,65,49,7.7
206,14,50,88,55,6.5
207,16,84,68,58,2.0
208,16,35,83,30,2.4
209,18,98,84,64,1.8
210,14,34,53,99,6.2
211,15,32,51,88,8.9
212,13,82,98,98,4.9
213,17,52,85,62,2.4
214,13,82,62,80,6.0
215,13,66,65,41,8.3
216,15,46,49,49,7.7
