Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Total Score,Average Score,Rank,Result,Grade,GPA,Division
1,16,62,49,44,7.5,155,51.67,428,Pass,C+,2.3,Second Division
2,17,52,40,63,2.3,155,51.67,429,Pass,C+,2.3,Second Division
3,15,39,67,90,2.9,196,65.33,234,Pass,B,2.9,First Division
4,17,98,35,64,8.4,197,65.67,229,Pass,B,2.9,First Division
5,17,63,52,93,3.9,208,69.33,169,Pass,B,3.1,First Division
6,14,81,76,54,1.2,211,70.33,150,Pass,B+,3.1,First Division
7,15,39,75,53,2.4,167,55.67,385,Pass,C+,2.5,Second Division
8,15,48,41,41,3.0,130,43.33,480,Fail,C,1.9,Third Division
9,15,87,42,47,9.6,176,58.67,340,Pass,C+,2.6,Second Division
10,17,30,91,44,6.2,165,55.0,394,Pass,C+,2.4,Second Division
11,16,98,89,56,9.4,243,81.0,39,Pass,A,3.6,Distinction
12,15,33,72,89,6.2,194,64.67,243,Pass,B,2.9,First Division
13,18,45,97,75,5.3,217,72.33,125,Pass,B+,3.2,First Division
14,17,53,34,46,3.8,133,44.33,477,Fail,C,2.0,Third Division
15,14,31,66,82,6.5,179,59.67,328,Pass,C+,2.7,Second Division
16,16,61,60,37,2.3,158,52.67,421,Pass,C+,2.3,Second Division
17,18,53,38,56,9.1,147,49.0,450,Fail,C,2.2,Third Division
18,18,41,80,75,8.5,196,65.33,237,Pass,B,2.9,First Division
19,14,79,58,79,3.9,216,72.0,128,Pass,B+,3.2,First Division
20,16,64,69,100,9.6,233,77.67,64,Pass,B+,3.5,First Division
21,17,62,70,32,8.4,164,54.67,395,Pass,C+,2.4,Second Division
22,13,62,40,93,7.0,195,65.0,238,Pass,B,2.9,First Division
23,16,90,52,73,2.1,215,71.67,131,Pass,B+,3.2,First Division
24,14,80,30,82,5.3,192,64.0,259,Pass,B,2.8,First Division
25,18,72,75,53,5.6,200,66.67,209,Pass,B,3.0,First Division
26,17,41,50,89,3.1,180,60.0,322,Pass,B,2.7,First Division
27,16,96,65,32,1.7,193,64.33,252,Pass,B,2.9,First Division
28,13,94,83,49,8.0,226,75.33,85,Pass,B+,3.3,First Division
29,13,62,86,75,2.1,223,74.33,97,Pass,B+,3.3,First Division
30,15,69,30,44,6.3,143,47.67,460,Fail,C,2.1,Third Division
31,15,72,92,54,9.4,218,72.67,115,Pass,B+,3.2,First Division
32,14,73,83,100,8.9,256,85.33,16,Pass,A,3.8,Distinction
33,16,58,84,46,3.5,188,62.67,275,Pass,B,2.8,First Division
34,16,42,69,38,8.7,149,49.67,443,Fail,C,2.2,Third Division
35,18,41,44,67,1.0,152,50.67,438,Pass,C+,2.3,Second Division
36,18,75,50,77,1.2,202,67.33,194,Pass,B,3.0,First Division
37,18,31,76,89,6.4,196,65.33,233,Pass,B,2.9,First Division
38,15,64,82,92,4.3,238,79.33,51,Pass,B+,3.5,First Division
39,16,37,38,31,4.5,106,35.33,498,Fail,D+,1.6,Fail
40,16,55,81,40,6.1,176,58.67,337,Pass,C+,2.6,Second Division
41,13,63,86,93,2.7,242,80.67,42,Pass,A,3.6,Distinction
42,15,36,55,50,2.9,141,47.0,463,Fail,C,2.1,Third Division
43,17,97,70,47,5.4,214,71.33,138,Pass,B+,3.2,First Division
44,15,87,64,93,7.8,244,81.33,38,Pass,A,3.6,Distinction
45,17,58,92,67,6.6,217,72.33,123,Pass,B+,3.2,First Division
