StudentID,Age,Gender,StudyHours,AttendancePercent,PreviousScore,ParentalEducation,InternetAccess,ExtraCurricular,FinalScore,Passed,Total Score,Average Score,Rank,GPA,Result,Grade,Division
1,18,Male,5,85,60,Graduate,Yes,Yes,72,1,217,72.33,22,3.2,Pass,B+,First Division
2,19,Female,8,92,75,Postgraduate,Yes,Yes,88,1,255,85.0,9,3.8,Pass,A,Distinction
3,17,Male,2,60,45,HighSchool,No,No,40,0,145,48.33,41,2.1,Fail,C,Third Division
4,20,Female,6,78,65,Graduate,Yes,No,70,1,213,71.0,25,3.2,Pass,B+,First Division
5,18,Male,3,55,50,HighSchool,No,Yes,48,0,153,51.0,37,2.3,Pass,C+,Second Division
6,21,Female,9,95,80,Postgraduate,Yes,Yes,92,1,267,89.0,4,4.0,Pass,A,Distinction
7,19,Male,4,70,55,Graduate,Yes,No,62,1,187,62.33,33,2.8,Pass,B,First Division
8,18,Female,7,88,72,Graduate,Yes,Yes,80,1,240,80.0,14,3.6,Pass,A,Distinction
9,20,Male,1,45,30,HighSchool,No,No,28,0,103,34.33,50,1.5,Fail,D+,Fail
10,17,Female,5,80,63,Graduate,Yes,Yes,68,1,211,70.33,27,3.1,Pass,B+,First Division
11,22,Male,10,98,85,Postgraduate,Yes,Yes,95,1,278,92.67,1,4.1,Pass,A+,Distinction
12,19,Female,3,62,48,HighSchool,No,No,42,0,152,50.67,39,2.3,Pass,C+,Second Division
13,18,Male,6,75,67,Graduate,Yes,Yes,74,1,216,72.0,24,3.2,Pass,B+,First Division
14,20,Female,8,90,78,Postgraduate,Yes,No,85,1,253,84.33,10,3.7,Pass,A,Distinction
15,17,Male,2,50,40,HighSchool,No,No,32,0,122,40.67,46,1.8,Fail,C,Third Division
16,21,Female,7,85,71,Graduate,Yes,Yes,78,1,234,78.0,16,3.5,Pass,B+,First Division
17,19,Male,4,68,54,Graduate,No,No,58,1,180,60.0,35,2.7,Pass,B,First Division
18,18,Female,9,93,82,Postgraduate,Yes,Yes,91,1,266,88.67,5,3.9,Pass,A,Distinction
19,20,Male,3,58,47,HighSchool,No,Yes,45,0,150,50.0,40,2.2,Pass,C+,Second Division
20,17,Female,6,77,64,Graduate,Yes,No,69,1,210,70.0,29,3.1,Pass,B+,First Division
21,22,Male,5,82,66,Graduate,Yes,Yes,73,1,221,73.67,20,3.3,Pass,B+,First Division
22,19,Female,2,48,35,HighSchool,No,No,30,0,113,37.67,48,1.7,Fail,D+,Fail
23,18,Male,8,89,76,Postgraduate,Yes,Yes,84,1,249,83.0,12,3.7,Pass,A,Distinction
24,20,Female,4,72,57,Graduate,Yes,No,63,1,192,64.0,32,2.8,Pass,B,First Division
25,17,Male,7,86,70,Graduate,Yes,Yes,77,1,233,77.67,17,3.5,Pass,B+,First Division
26,21,Female,3,60,49,HighSchool,No,No,43,0,152,50.67,38,2.3,Pass,C+,Second Division
27,19,Male,9,94,81,Postgraduate,Yes,Yes,90,1,265,88.33,6,3.9,Pass,A,Distinction
28,18,Female,5,79,62,Graduate,Yes,Yes,70,1,211,70.33,28,3.1,Pass,B+,First Division
29,20,Male,2,52,38,HighSchool,No,No,33,0,123,41.0,45,1.8,Fail,C,Third Division
30,17,Female,6,76,65,Graduate,Yes,No,71,1,212,70.67,26,3.1,Pass,B+,First Division
31,22,Male,8,91,79,Postgraduate,Yes,Yes,87,1,257,85.67,8,3.8,Pass,A,Distinction
32,19,Female,4,69,56,Graduate,No,Yes,61,1,186,62.0,34,2.8,Pass,B,First Division
33,18,Male,3,57,46,HighSchool,No,No,41,0,144,48.0,42,2.1,Fail,C,Third Division
34,20,Female,7,87,73,Graduate,Yes,Yes,81,1,241,80.33,13,3.6,Pass,A,Distinction
35,17,Male,5,83,67,Graduate,Yes,No,75,1,225,75.0,18,3.3,Pass,B+,First Division
36,21,Female,2,47,33,HighSchool,No,No,29,0,109,36.33,49,1.6,Fail,D+,Fail
37,19,Male,9,96,83,Postgraduate,Yes,Yes,93,1,272,90.67,3,4.0,Pass,A+,Distinction
38,18,Female,4,71,58,Graduate,Yes,No,64,1,193,64.33,31,2.9,Pass,B,First Division
39,20,Male,6,80,68,Graduate,Yes,Yes,76,1,224,74.67,19,3.3,Pass,B+,First Division
40,17,Female,3,59,44,HighSchool,No,No,39,0,142,47.33,43,2.1,Fail,C,Third Division
41,22,Male,8,88,77,Postgraduate,Yes,Yes,86,1,251,83.67,11,3.7,Pass,A,Distinction
42,19,Female,5,81,63,Graduate,Yes,Yes,72,1,216,72.0,23,3.2,Pass,B+,First Division
43,18,Male,2,49,36,HighSchool,No,No,31,0,116,38.67,47,1.7,Fail,D+,Fail
44,20,Female,7,84,71,Graduate,Yes,No,79,1,234,78.0,15,3.5,Pass,B+,First Division
45,17,Male,9,97,84,Postgraduate,Yes,Yes,94,1,275,91.67,2,4.1,Pass,A+,Distinction
46,21,Female,4,66,53,Graduate,No,No,57,1,176,58.67,36,2.6,Pass,C+,Second Division
47,19,Male,6,78,66,Graduate,Yes,Yes,74,1,218,72.67,21,3.2,Pass,B+,First Division
48,18,Female,3,56,43,HighSchool,No,No,38,0,137,45.67,44,2.0,Fail,C,Third Division
49,20,Male,8,92,80,Postgraduate,Yes,Yes,89,1,261,87.0,7,3.9,Pass,A,Distinction
50,17,Female,5,74,61,Graduate,Yes,No,67,1,202,67.33,30,3.0,Pass,B,First Division
